"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc"
"2019-05-08 18:00:00",1,282.30002,9.999e+20,9.999e+20,9.999e+20,73.700005,-8.94,-3.11,0.00537,99281.02
"2019-05-09 00:00:00",1,280.9,262,47,0,76.8,-6.69,0.90999997,0.00506,99520.7
"2019-05-09 06:00:00",1,280.9,258,8,1e-06,76.9,-4.85,3.12,0.0050899996,99582.25
"2019-05-09 12:00:00",1,283.30002,265,533,1.8e-05,71.5,-4.88,3.21,0.00555,99690.64
"2019-05-09 18:00:00",1,282.6,275,647,3.4e-05,77.5,-8.48,-3.82,0.00572,99866.24
"2019-05-10 00:00:00",1,280.80002,313,41,9e-06,79.200005,-6.6,-4.94,0.0051599997,100191.836
"2019-05-10 06:00:00",1,280.9,327,4,1.1e-05,78.3,-5.42,-3.84,0.00513,100294.61
"2019-05-10 12:00:00",1,282.9,301,423,2.2e-05,68.9,-7.43,-4.35,0.00517,100536.016
"2019-05-10 18:00:00",1,282.5,278,606,1.3e-05,65.9,-8.809999,-2.8,0.00481,100755.45
"2019-05-11 00:00:00",1,280.30002,259,47,0,71,-6.17,-1.8399999,0.0044199997,101170.2
"2019-05-11 06:00:00",1,280.30002,253,9,3e-06,67,-6,-0.17999999,0.00417,101595.125
"2019-05-11 12:00:00",1,282.6,261,528,5e-06,58.3,-6.43,2.55,0.00421,102132.37
"2019-05-11 18:00:00",1,282.4,264,661,5e-06,62.5,-5.91,0.22,0.00446,102429.06
"2019-05-12 00:00:00",1,280.4,260,51,0,69.8,-1.9499999,-2.8,0.0042999997,102787.625
"2019-05-12 06:00:00",1,280.30002,261,8,0,72.200005,2.1299999,-3.61,0.0044299997,102836.664
"2019-05-12 12:00:00",1,284.6,297,437,0,57.600002,5.02,-2.53,0.00471,102866.49
"2019-05-12 18:00:00",1,286.30002,298,612,0,60.8,3.58,0.35,0.00556,102733.56
"2019-05-13 00:00:00",1,283.2,288,51,0,83.1,4.39,-2.96,0.00621,102710.766
"2019-05-13 06:00:00",1,281.6,285,7,0,66.1,6.56,-4.58,0.00445,102548.16
"2019-05-13 12:00:00",1,287.7,291,495,0,58.7,8.62,-2.76,0.00593,102528.484
"2019-05-13 18:00:00",1,287.9,296,644,0,66.8,8.01,-2.37,0.0067999996,102445.52
"2019-05-14 00:00:00",1,283.6,286,52,0,82.9,6.8199997,-4.42,0.0063899998,102554.94
"2019-05-14 06:00:00",1,282.5,275,10,0,79.9,6.89,-4.85,0.00572,102522.7
"2019-05-14 12:00:00",1,287.4,279,550,0,65.200005,8.0199995,-3.77,0.00646,102488.38
"2019-05-14 18:00:00",1,287.6,291,677,0,63.5,6.42,-2.35,0.0063699996,102330.87
"2019-05-15 00:00:00",1,282.7,279,55,0,71,5.2599998,-4.3399997,0.00517,102310.95
"2019-05-15 06:00:00",1,281.9,288,8,0,70.9,3.6599998,-4.71,0.00489,102072.305
"2019-05-15 12:00:00",1,286.2,297,446,1e-06,68.8,5.54,-3.97,0.00635,101902.36
"2019-05-15 18:00:00",1,285.7,344,323,6e-06,75.5,4.33,-2.28,0.0067499997,101689.71
"2019-05-16 00:00:00",1,283.7,334,17,0,84.1,2.84,-4.7599998,0.0066,101597.36
"2019-05-16 06:00:00",1,283.5,330,4,6e-06,84.6,3.3899999,-7.43,0.00655,101319.98
"2019-05-16 12:00:00",1,286.30002,305,491,4e-06,66,3.3,-7.0299997,0.0061299996,101208.82
"2019-05-16 18:00:00",1,286.5,322,485,2.1e-05,75.5,1.92,-4.91,0.00713,101038.45
"2019-05-17 00:00:00",1,283.7,334,27,9.4e-05,84.8,-1.18,-4.38,0.0066799996,100715
"2019-05-17 06:00:00",1,281.30002,299,11,5e-06,80.200005,0.17,-6.69,0.00539,100703.625
"2019-05-17 12:00:00",1,288.5,275,558,0,56.600002,-0.03,-8.8,0.0061299996,100763.02
"2019-05-17 18:00:00",1,289,296,685,0,59,-1.24,-7.6,0.0065599997,100806.375
"2019-05-18 00:00:00",1,282.80002,285,59,0,84.700005,-2.01,-3.36,0.00627,100985.53
"2019-05-18 06:00:00",1,282.30002,276,13,0,86.8,-1.26,-2.1699998,0.00623,100945.15
"2019-05-18 12:00:00",1,288.30002,284,558,0,57.5,-1.9599999,-3.87,0.00612,100915.35
"2019-05-18 18:00:00",1,288.5,297,680,0,60.7,-4.41,-4.2,0.00655,100805.87
"2019-05-19 00:00:00",1,282.7,286,59,0,84.4,-2.3899999,-2.59,0.0061899996,100933.79
"2019-05-19 06:00:00",1,282.7,277,13,0,85.5,-1.86,-1.8199999,0.0063099996,100915.94
"2019-05-19 12:00:00",1,288.7,287,558,0,57.8,-2.51,-4.42,0.00628,101044.4
"2019-05-19 18:00:00",1,288.30002,297,687,0,60.600002,-4.0699997,-4.39,0.00646,101138.164
"2019-05-20 00:00:00",1,282.2,284,59,0,85,-0.7,-2.57,0.0060099997,101400.81
"2019-05-20 06:00:00",1,282.7,271,14,0,81.4,0.89,-1.28,0.00597,101546.914
"2019-05-20 12:00:00",1,288.1,284,565,0,58.4,-0.34,-0.79999995,0.0061,101687.36
"2019-05-20 18:00:00",1,288.4,313,623,1e-06,58,-2.26,0.19,0.0061399997,101696.42
"2019-05-21 00:00:00",1,282.7,287,61,0,80.9,-1.67,-1.0699999,0.0058899997,101767.51
"2019-05-21 06:00:00",1,283.5,278,14,0,80.3,1.0699999,-1.5799999,0.0061999997,101645.8
"2019-05-21 12:00:00",1,288.80002,288,565,1e-06,57,2.84,1.63,0.00622,101532.52
"2019-05-21 18:00:00",1,287.6,305,646,1e-06,60.9,1.37,4.48,0.0061399997,101358.44
"2019-05-22 00:00:00",1,281.5,280,62,0,86.700005,1.0699999,0.98999995,0.00587,101206.71
"2019-05-22 06:00:00",1,282.80002,273,14,0,82.8,2.03,1.0699999,0.00611,100869.47
"2019-05-22 12:00:00",1,287.1,287,548,2e-05,57.7,3.84,1.74,0.0056999996,100603.695
"2019-05-22 18:00:00",1,286.1,309,578,1.8e-05,60,-0.02,2.56,0.0055799996,100275.38
"2019-05-23 00:00:00",1,283,304,44,1e-06,77.3,-1.11,-1.42,0.00587,100004.836
"2019-05-23 06:00:00",1,282.9,307,11,3.8e-05,80.8,-0.75,-0.099999994,0.00609,99624.24
"2019-05-23 12:00:00",1,286.4,311,476,9e-05,66.8,-2.1699998,0.7,0.0063899998,99317.73
"2019-05-23 18:00:00",1,284.9,307,609,8.1e-05,74.6,-4.73,1.88,0.00648,99015.805
"2019-05-24 00:00:00",1,281.80002,300,44,3.4e-05,89.6,-1.26,4.74,0.00634,98850.46
"2019-05-24 06:00:00",1,282,326,2,0.000249,91.200005,-3.4099998,7.8799996,0.00654,98687.37
"2019-05-24 12:00:00",1,283.9,343,152,0.000339,76.9,1.49,13.099999,0.00627,98924.85
"2019-05-24 18:00:00",1,282.80002,340,207,9e-05,83.5,1.43,12.12,0.00633,99028.6
"2019-05-08 18:00:00",2,282.5,9.999e+20,9.999e+20,9.999e+20,72.200005,-8.639999,-3.34,0.0053399997,99276.22
"2019-05-09 00:00:00",2,281.1,262,47,0,75.4,-7.4199996,0.97999996,0.0050299997,99536.02
"2019-05-09 06:00:00",2,281,259,8,6e-06,79.8,-5.2799997,2.01,0.00529,99607.99
"2019-05-09 12:00:00",2,282.6,287,432,3.4e-05,75.9,-5.43,-4.2599998,0.0055799996,99836.29
"2019-05-09 18:00:00",2,282.2,306,522,1.5e-05,68.8,-6.6099997,-6.24,0.0049099997,100153.5
"2019-05-10 00:00:00",2,280.30002,269,34,0,69.9,-3.34,-3.98,0.00438,100483.72
"2019-05-10 06:00:00",2,279.9,252,8,0,70.200005,-1.3299999,-3.29,0.00428,100597.02
"2019-05-10 12:00:00",2,283.5,259,535,0,54.9,-2.6799998,-3.7099998,0.0042499998,100817.1
"2019-05-10 18:00:00",2,283.2,271,644,1e-06,62.3,-6.8599997,-4.74,0.00475,100916.18
"2019-05-11 00:00:00",2,280.4,260,49,0,72.700005,-4.5699997,-5.39,0.00456,101213.87
"2019-05-11 06:00:00",2,280.1,252,9,0,67.4,-3.74,-2.95,0.00411,101609.71
"2019-05-11 12:00:00",2,282.7,262,526,0,54.100002,-4.0099998,-0.64,0.00392,102119.29
"2019-05-11 18:00:00",2,282.9,266,661,1e-06,53.600002,-3.8899999,-1.4399999,0.0039399997,102329.15
"2019-05-12 00:00:00",2,280.7,258,51,0,64.9,-0.52,-3.6799998,0.00409,102622.44
"2019-05-12 06:00:00",2,280.2,265,7,0,70.200005,3.02,-4.83,0.00428,102557.02
"2019-05-12 12:00:00",2,285.6,315,390,0,69.4,6.45,-2.45,0.00609,102615.49
"2019-05-12 18:00:00",2,286.9,313,585,0,68.6,6.6499996,1.02,0.0065599997,102563.89
"2019-05-13 00:00:00",2,283.2,290,51,0,72.4,6.7599998,-3.46,0.00544,102631.04
"2019-05-13 06:00:00",2,282.1,274,9,0,68.8,7.08,-4.06,0.0047899997,102531.68
"2019-05-13 12:00:00",2,287.80002,295,456,0,60.4,8.76,-3.3,0.00611,102492.85
"2019-05-13 18:00:00",2,287.9,303,631,0,65,8.98,-2.3799999,0.00665,102395.12
"2019-05-14 00:00:00",2,283.7,290,51,0,80.3,7.18,-4.18,0.00624,102577.414
"2019-05-14 06:00:00",2,282.7,277,11,0,81,7.41,-4.8399997,0.0058999998,102481.96
"2019-05-14 12:00:00",2,287.80002,284,548,0,69.9,8.66,-3.09,0.0071199997,102437.055
"2019-05-14 18:00:00",2,287.7,296,673,0,63.7,8.05,-3.35,0.00643,102184.08
"2019-05-15 00:00:00",2,282.9,275,55,0,70.700005,6.71,-5.0899997,0.00521,102127.055
"2019-05-15 06:00:00",2,282.4,264,11,0,76.5,6.41,-5.7599998,0.0054599997,101846.57
"2019-05-15 12:00:00",2,285.80002,292,473,2e-06,77,6.92,-4.73,0.0069199996,101770.06
"2019-05-15 18:00:00",2,287,345,353,6e-06,70.6,5.06,-5.73,0.0068699997,101500.836
"2019-05-16 00:00:00",2,284.80002,349,14,3e-06,81.4,2.21,-6.5,0.0069,101257.836
"2019-05-16 06:00:00",2,283.6,328,5,4e-06,85.9,3.6899998,-7.91,0.00671,101138.36
"2019-05-16 12:00:00",2,286.7,321,359,5e-06,74.5,1.54,-7.17,0.00715,100968.086
"2019-05-16 18:00:00",2,286.80002,334,485,0.000144,84.6,3.3,-7.97,0.00815,100838.68
"2019-05-17 00:00:00",2,284.4,325,38,0.000104,87,1.0699999,-5.8799996,0.0072,100477.87
"2019-05-17 06:00:00",2,282.4,325,9,4.9e-05,86.6,0.049999997,-4.96,0.00628,100390.09
"2019-05-17 12:00:00",2,290,321,440,1.8e-05,64.8,0.96,-10.15,0.00777,100134.23
"2019-05-17 18:00:00",2,290.2,330,580,1e-06,62.9,-0.17,-10.08,0.00764,99903.56
"2019-05-18 00:00:00",2,284.80002,301,51,0,66.9,-1.62,-9.599999,0.00573,99971.6
"2019-05-18 06:00:00",2,282.9,281,12,0,82.3,-2.44,-7.72,0.0061999997,99684.8
"2019-05-18 12:00:00",2,287.4,333,293,2.4e-05,75.700005,-2.79,-11.55,0.0077,99608.24
"2019-05-18 18:00:00",2,289.5,353,416,1.4e-05,65.9,-1.6899999,-12.87,0.00771,99351.85
"2019-05-19 00:00:00",2,286,338,27,1e-06,81.9,-1.01,-10.099999,0.0076499996,99419.77
"2019-05-19 06:00:00",2,285.30002,325,7,2e-06,85.700005,1.16,-8.92,0.0075899996,99515.914
"2019-05-19 12:00:00",2,289.30002,344,319,1e-05,70.200005,0.48,-7.27,0.00806,99571.82
"2019-05-19 18:00:00",2,289,347,463,6.7e-05,77.3,1.4,-7.22,0.0087399995,99591.64
"2019-05-20 00:00:00",2,285.30002,341,32,5.4e-05,82.8,-0.48,-7.8599997,0.0073599997,99743.41
"2019-05-20 06:00:00",2,283.30002,306,12,4e-06,85,-0.56,-9.41,0.0066199997,99656.2
"2019-05-20 12:00:00",2,288.4,338,317,2.4e-05,74.5,3.9399998,-6.98,0.0081,99930.02
"2019-05-20 18:00:00",2,288.7,343,422,9.6e-05,75.8,4.92,-4.29,0.008359999,99840.68
"2019-05-21 00:00:00",2,284.80002,310,49,2e-05,90.8,3.1699998,-6.12,0.0077199996,100289.414
"2019-05-21 06:00:00",2,284.80002,337,6,5.3e-05,90.3,5.02,-7.5699997,0.00769,100198.21
"2019-05-21 12:00:00",2,288.6,351,262,2.3e-05,73.6,6.77,-5.54,0.00803,100348.04
"2019-05-21 18:00:00",2,289.30002,325,597,7.7e-05,67.200005,4.74,-1.9,0.00769,100178.62
"2019-05-22 00:00:00",2,283.80002,298,59,3.9e-05,86.700005,1.14,-2.2,0.0069199996,100065.586
"2019-05-22 06:00:00",2,283.4,283,15,0,93.9,1.8299999,-2.29,0.0072999997,99850.53
"2019-05-22 12:00:00",2,289.5,294,556,1e-06,61.9,4.14,-1.5,0.00719,99655.695
"2019-05-22 18:00:00",2,287.6,325,587,0.000391,77.5,3.75,-0.68,0.00803,99491.266
"2019-05-23 00:00:00",2,283.6,327,23,0.000149,92.700005,4.68,-0.29999998,0.00737,99321.92
"2019-05-23 06:00:00",2,283.2,325,5,9e-06,91.1,4.27,-0.87,0.00708,99304.836
"2019-05-23 12:00:00",2,287.4,326,388,4.5e-05,73,6.1099997,4.5499997,0.0074199997,99487.805
"2019-05-23 18:00:00",2,287.2,295,688,1.3e-05,69.1,5.73,3.3999999,0.0069299997,99497.33
"2019-05-24 00:00:00",2,282.80002,287,64,0,90,1.6899999,-1.64,0.0067499997,99541.234
"2019-05-24 06:00:00",2,283.5,299,8,1.8e-05,93.3,-1.25,-2.01,0.00737,99209.47
"2019-05-24 12:00:00",2,287.4,347,240,8.9e-05,82.8,1.9499999,-2.27,0.00851,99043.43
"2019-05-24 18:00:00",2,287,356,240,0.000279,88.700005,-2.45,-1.5899999,0.00887,98669.03
"2019-05-08 18:00:00",3,282.5,9.999e+20,9.999e+20,9.999e+20,74.200005,-8.3,-2.96,0.0054699997,99174.43
"2019-05-09 00:00:00",3,280.9,262,47,0,77.1,-5.95,0.32,0.0050899996,99483.08
"2019-05-09 06:00:00",3,280.9,257,8,0,72.9,-3.25,3.36,0.00482,99542.68
"2019-05-09 12:00:00",3,283.30002,260,539,8e-06,64,0.61,6.22,0.0049699997,99607.02
"2019-05-09 18:00:00",3,282.9,266,668,1.6e-05,68.9,-3.37,0.22999999,0.0052199997,99681.6
"2019-05-10 00:00:00",3,280.5,268,45,9e-06,80.5,-5.7799997,-3.1599998,0.0051599997,99977.81
"2019-05-10 06:00:00",3,280.80002,274,7,9e-06,77.4,-5.73,-2.49,0.0050399997,100091.055
"2019-05-10 12:00:00",3,283,273,516,1.1e-05,62.4,-8.32,-1.29,0.00469,100441.164
"2019-05-10 18:00:00",3,282,261,669,1e-06,65,-8.7,0.24,0.00457,100715.63
"2019-05-11 00:00:00",3,280.4,258,50,6e-06,67.4,-6.58,1.04,0.00423,101186.98
