"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2019-10-02 06:00:00",1,283.80002,9.999e+20,9.999e+20,9.999e+20,63.7,-2.19,0.62,0.00501,101568.73,9.999e+20
"2019-10-02 12:00:00",1,284.80002,341,133,2e-06,57.7,0.14999999,-0.55,0.00484,101719.93,96
"2019-10-02 18:00:00",1,284.6,328,202,1e-06,65.1,3.61,-1.37,0.00542,101519.56,92
"2019-10-03 00:00:00",1,283.7,303,0,0,74.200005,5.71,-4.89,0.00582,101163.98,81
"2019-10-03 06:00:00",1,282.72998,296,0,0,84.4,9.08,-9.37,0.00627,100214.54,52
"2019-10-03 12:00:00",1,287.30002,332,60,0.000109,86.3,17.84,-8.86,0.008789999,98822.375,66
"2019-10-03 18:00:00",1,287.2,369,77,4.2e-05,78.5,7.49,15.94,0.00797,98949.43,84
"2019-10-04 00:00:00",1,286.69998,354,0,2.5e-05,75.4,4.38,18.67,0.0073599997,99284.02,90
"2019-10-04 06:00:00",1,286.22998,352,0,1.3e-05,77.9,-2.45,18.529999,0.0073599997,99568.41,82
"2019-10-04 12:00:00",1,287.07,329,202,6e-06,78.200005,-2.98,11.809999,0.00777,100087.77,77
"2019-10-04 18:00:00",1,287.19,318,300,5e-06,91.3,4.21,0.90999997,0.00913,100097.77,64
"2019-10-05 00:00:00",1,288.13998,377,0,7.9e-05,92.700005,9.349999,2.06,0.00988,99887.914,97
"2019-10-05 06:00:00",1,287.29,374,0,0.000333,94.9,0.78,5.12,0.00957,99894.15,100
"2019-10-05 12:00:00",1,287.55,316,225,1e-06,80.4,3.03,6.54,0.00821,100232.48,57
"2019-10-05 18:00:00",1,285.94998,294,320,5e-06,74.700005,2.3799999,6.93,0.0068599996,100418.375,9
"2019-10-06 00:00:00",1,285.19998,287,0,8.1e-05,74.700005,-0.19,6.79,0.0065099997,100719.02,22
"2019-10-06 06:00:00",1,285.04,283,0,0,77.9,-0.089999996,5.6,0.0067,100977.62,0
"2019-10-06 12:00:00",1,287,285,240,0,69.700005,3.83,2.85,0.00684,101195.2,2
"2019-10-06 18:00:00",1,286.30002,313,250,2e-06,77.4,9.79,-0.47,0.00725,100831.57,74
"2019-10-07 00:00:00",1,285.83,349,0,0.000442,85.9,17.789999,-3.3899999,0.00787,99940.8,99
"2019-10-07 06:00:00",1,287.00998,359,0,3.5e-05,80.5,8.71,10.179999,0.00797,99909.26,83
"2019-10-07 12:00:00",1,286.7,342,142,1.1e-05,72.700005,5.39,12.41,0.00701,100262.555,72
"2019-10-07 18:00:00",1,285.80002,316,200,2.3e-05,72.200005,4.17,12.53,0.00658,100427.805,49
"2019-10-08 00:00:00",1,285.35,329,0,3.6e-05,69.6,4.22,16.33,0.00615,100483.35,78
"2019-10-08 06:00:00",1,285.47,334,0,7.2e-05,68.3,1.39,15.12,0.0060799997,100524.06,87
"2019-10-08 12:00:00",1,285.94998,340,81,0.000101,74,2.61,16.3,0.00679,100623.46,95
"2019-10-08 18:00:00",1,285.52,349,100,9.3e-05,77.4,0.84999996,15.889999,0.00691,100494.96,96
"2019-10-09 00:00:00",1,285.65,332,0,0.000125,77,-1.29,14,0.0069399998,100450.44,86
"2019-10-09 06:00:00",1,285.11,326,0,9.2e-05,73.9,-4.49,12.889999,0.00641,100542.64,77
"2019-10-09 12:00:00",1,285.71,334,106,6.2e-05,71.5,-3.74,11.929999,0.0064499998,100654.62,97
"2019-10-09 18:00:00",1,285.16,298,261,4.7e-05,72.8,-5.33,9.71,0.00634,100668.625,35
"2019-10-10 00:00:00",1,284.81,311,0,4.3e-05,74.3,-5.6299996,9.33,0.0063099996,100822.47,53
"2019-10-10 06:00:00",1,284.69998,304,0,4.1e-05,73.8,-7.29,8.41,0.00621,101023.96,48
"2019-10-10 12:00:00",1,285.65,303,173,1.2e-05,67.3,-6.56,7.2799997,0.00603,101025.16,68
"2019-10-10 18:00:00",1,284.30002,308,210,1.3e-05,72.6,-5.2799997,5.67,0.00591,101262.27,62
"2019-10-11 00:00:00",1,283.5,303,0,2e-06,73.700005,-4.5,4.7799997,0.0056999996,101450.98,64
"2019-10-11 06:00:00",1,282.77,312,0,1e-06,76.8,-3.75,3.4299998,0.0056399996,101570.1,56
"2019-10-11 12:00:00",1,285.65,312,136,1e-06,69.200005,-2.56,3.04,0.00616,101678.266,51
"2019-10-11 18:00:00",1,285.1,345,130,2.1e-05,90,2.82,2.54,0.0077299997,101432.016,78
"2019-10-12 00:00:00",1,286.72998,369,0,7.6e-05,95.4,-0.14999999,5.64,0.00916,101177.664,95
"2019-10-12 06:00:00",1,286.94,376,0,5.2e-05,92,-1.03,8.74,0.008979999,100925.29,97
"2019-10-12 12:00:00",1,287.65,372,52,4.1e-05,89.200005,-0.98999995,11.5199995,0.00914,100711.65,96
