"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc"
"2019-05-07 12:00:00",1,283,9.999e+20,9.999e+20,9.999e+20,76.200005,-0.63,-4.38,0.0057699997,100538.055
"2019-05-07 18:00:00",1,283.2,307,527,4.9e-05,81.200005,-2.54,-5.98,0.00624,100022.37
"2019-05-08 00:00:00",1,281.6,317,26,5.3e-05,83.3,1,-7.3399997,0.0057699997,99503.875
"2019-05-08 06:00:00",1,280.5,293,4,6e-06,86.6,-4.5,-7.6699996,0.00561,99034.375
"2019-05-08 12:00:00",1,282.6,324,239,1e-05,78.6,-8.21,-6.89,0.00586,98976.54
"2019-05-08 18:00:00",1,283.1,323,411,4e-06,74.3,-9.83,-3.6699998,0.0056999996,99111.805
"2019-05-09 00:00:00",1,281.5,309,33,6e-06,80.3,-6.7599998,-1.35,0.00554,99415.836
"2019-05-09 06:00:00",1,281.2,271,7,1e-06,78.9,-4.96,2.31,0.00532,99574.4
"2019-05-09 12:00:00",1,283.4,268,524,9e-06,69,-2.6,3.75,0.0053999997,99649.27
"2019-05-09 18:00:00",1,282.1,275,650,8.1e-05,77.6,-7.91,-5.16,0.00556,99895.64
"2019-05-10 00:00:00",1,280.5,317,29,8e-06,75.1,-6.06,-4.12,0.0047999998,100183.87
"2019-05-10 06:00:00",1,280.7,315,6,8e-06,74.5,-5.91,-3.6,0.00484,100262.22
"2019-05-10 12:00:00",1,282.9,275,498,1.4e-05,65,-7.73,-3.36,0.00488,100499.04
"2019-05-10 18:00:00",1,282.4,267,653,7e-06,63.8,-8.69,-3.21,0.00463,100670.77
"2019-05-11 00:00:00",1,280.2,255,49,0,69.6,-6.08,-1.93,0.0042999997,101102.04
"2019-05-11 06:00:00",1,280.4,253,9,2e-06,66.9,-6.08,-0.04,0.00416,101501.56
"2019-05-11 12:00:00",1,282.7,260,536,1.1e-05,57.5,-6.31,0.42,0.00417,102096.44
"2019-05-11 18:00:00",1,282.2,261,672,4e-06,58.4,-5.3399997,-0.03,0.00411,102544.56
"2019-05-12 00:00:00",1,279.80002,255,52,0,63.8,-0.7,-2.1,0.00376,102957.02
"2019-05-12 06:00:00",1,279.80002,255,9,0,68.6,2.84,-3.24,0.00404,103090.87
"2019-05-12 12:00:00",1,284.30002,265,529,0,52.5,5.46,-1.61,0.00419,103184.71
"2019-05-12 18:00:00",1,285.30002,303,546,0,62.8,4.89,1.9399999,0.00538,103117.4
"2019-05-13 00:00:00",1,283.1,290,48,0,81.3,5.0499997,-0.01,0.00599,103140.164
"2019-05-13 06:00:00",1,281.6,275,9,0,80.5,5.72,-2.54,0.00539,103097.94
"2019-05-13 12:00:00",1,287.2,278,541,0,63.600002,9.01,-0.96,0.00617,103096.336
"2019-05-13 18:00:00",1,287.6,288,677,0,64.1,8.08,-0.19,0.0063699996,102974.56
"2019-05-14 00:00:00",1,282.9,277,55,0,78,6.46,-2.25,0.0057099997,103072.13
"2019-05-14 06:00:00",1,282.2,266,10,0,75.8,6.7,-2.08,0.00529,102998.66
"2019-05-14 12:00:00",1,287.2,282,532,0,58.3,7.39,-0.28,0.00568,102991.08
