"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc"
"2019-05-04 06:00:00",1,279.6,9.999e+20,9.999e+20,9.999e+20,66.4,-4.2799997,-5.0099998,0.00391,102151
"2019-05-04 12:00:00",1,282.5,250,528,0,52.7,-3.54,-4.48,0.00376,102408.65
"2019-05-04 18:00:00",1,282.80002,258,659,0,60,-5.38,-3.09,0.00438,102459.98
"2019-05-05 00:00:00",1,280.1,255,44,0,69.700005,-1.41,-3.8999999,0.00422,102542.234
"2019-05-05 06:00:00",1,279.30002,250,6,0,72.8,0.71,-2.22,0.0041799997,102452.836
"2019-05-05 12:00:00",1,282.80002,255,530,0,53.7,-1.4699999,-0.61,0.00391,102419.695
"2019-05-05 18:00:00",1,283.2,261,663,0,58.9,-3.85,-1.03,0.0044199997,102229.94
"2019-05-06 00:00:00",1,280.1,257,45,0,71.9,-1.17,-3.58,0.0043599997,102155.586
"2019-05-06 06:00:00",1,279.2,253,6,0,74.700005,0.25,-3.31,0.00428,101948.85
"2019-05-06 12:00:00",1,282.6,259,514,0,56.100002,-0.90999997,-0.93,0.00407,101836.36
"2019-05-06 18:00:00",1,282.80002,270,632,1e-06,60.4,-3.78,-1.75,0.00445,101568.27
"2019-05-07 00:00:00",1,280.1,260,43,0,72.5,-0.78999996,-3.48,0.00444,101350.914
"2019-05-07 06:00:00",1,279.4,257,6,0,80.6,-0.03,-3.29,0.00471,100992.71
"2019-05-07 12:00:00",1,282.9,269,505,9e-06,67.5,-0.64,-4.45,0.00506,100691.61
"2019-05-07 18:00:00",1,282.9,291,571,1.8e-05,67.5,-4.65,-6.2,0.00507,100244.99
"2019-05-08 00:00:00",1,280.30002,272,43,1e-06,82.6,-3.83,-6.93,0.0052199997,99880.266
"2019-05-08 06:00:00",1,279.80002,298,3,2.5e-05,85.4,-5.6,-5.21,0.0052199997,99504.35
"2019-05-08 12:00:00",1,281.4,316,292,2.8e-05,77.9,-5.24,-3.4399998,0.0053399997,99437.59
"2019-05-08 18:00:00",1,281.4,306,466,2.1e-05,74.5,-7.29,-2.06,0.0050899996,99422.19
"2019-05-09 00:00:00",1,280.1,271,43,2e-05,76.8,-6.0299997,-2.27,0.00478,99513.01
"2019-05-09 06:00:00",1,279.9,260,8,1e-06,72.1,-6.79,-1.24,0.00445,99544.96
"2019-05-09 12:00:00",1,281.80002,255,538,1e-05,60.9,-8.24,-0.32999998,0.00428,99726.44
"2019-05-09 18:00:00",1,281.30002,255,672,6e-06,60.5,-8.62,0.77,0.00409,99794.42
"2019-05-10 00:00:00",1,279.9,249,50,2e-06,64,-5.44,2.07,0.00393,99853.24
