"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2019-11-27 18:00:00",1,281.8,9.999e+20,9.999e+20,9.999e+20,89.4,-2.82,-1.26,0.00634,98615.375,9.999e+20
"2019-11-28 00:00:00",1,281.9,285,0,3e-06,88.5,-4.39,-0.32999998,0.0063099996,98849.7,33
"2019-11-28 06:00:00",1,282.03,295,0,3e-06,84.5,-6.96,-3.3799999,0.00605,99161.77,51
"2019-11-28 12:00:00",1,282.55,301,50,6e-06,83.1,-7.1,-4.75,0.00615,99551.2,66
"2019-11-28 18:00:00",1,280.72998,330,50,4.7e-05,81.3,-4.0899997,-8.2,0.00529,100004.4,86
"2019-11-29 00:00:00",1,279.27,288,0,1.1e-05,73.4,-2.09,-6.3199997,0.00428,100552,51
"2019-11-29 06:00:00",1,278.27,247,0,0,69.8,-0.53,-4.71,0.00378,100940.445,2
"2019-11-29 12:00:00",1,279.25,241,70,0,66.1,1.2099999,-5.5499997,0.00382,101267.484,1
"2019-11-29 18:00:00",1,278.15,242,110,0,77.5,1.88,-6.79,0.00415,101312.125,1
"2019-11-30 00:00:00",1,277.55,242,0,0,80.6,2.31,-7.5899997,0.00414,101421.07,1
"2019-11-30 06:00:00",1,277.69,242,0,0,79.200005,0.16,-8.25,0.0041,101470.664,2
"2019-11-30 12:00:00",1,279.13,242,70,0,74.9,-0.81,-8.24,0.00428,101854.586,2
"2019-11-30 18:00:00",1,278.37,249,100,0,79.4,-2.6699998,-5.93,0.00428,102222.31,5
"2019-12-01 00:00:00",1,277.79,244,0,0,71.6,-2.4099998,-4.08,0.0036799998,102622.51,2
"2019-12-01 06:00:00",1,278.57,244,0,0,68.5,-3.23,-3,0.00372,102846.12,2
"2019-12-01 12:00:00",1,280.57,251,60,3e-06,64.4,-2.71,-2.32,0.0039999997,103193.766,12
"2019-12-01 18:00:00",1,278.75,254,100,0,65.6,-1.15,-1.18,0.00357,103311.78,28
"2019-12-02 00:00:00",1,278.69,252,0,0,68.5,2.3999999,0.19,0.00372,103418.04,26
"2019-12-02 06:00:00",1,279.38,253,0,0,74.200005,4.97,2.11,0.0042499998,103346.664,20
"2019-12-02 12:00:00",1,281.04,254,60,0,75,6.1099997,4.49,0.00482,103309.39,23
"2019-12-02 18:00:00",1,280.88,258,100,0,81.5,5.74,6.3999996,0.00518,103122.805,22
"2019-12-03 00:00:00",1,281.61,302,0,4e-06,80.200005,6.25,7.5699997,0.00538,103075.21,64
"2019-12-03 06:00:00",1,281.68,326,0,5e-06,81,6.18,6.6099997,0.0054599997,102816.69,84
"2019-12-03 12:00:00",1,282.69998,327,40,4e-06,79.4,7.8799996,7.19,0.00574,102747.44,85
"2019-12-03 18:00:00",1,282.62,336,50,7e-06,78.6,7.96,7.8599997,0.00567,102530.836,90
"2019-12-04 00:00:00",1,282.87,340,0,1.2e-05,79.200005,7.7999997,10.16,0.00582,102342.516,92
"2019-12-04 06:00:00",1,283.25,329,0,1.6e-05,85.5,8.05,12.11,0.00647,101971.18,79
"2019-12-04 12:00:00",1,282.33,341,20,4.3e-05,70.4,-3.4399998,8.84,0.00499,102229.96,95
"2019-12-04 18:00:00",1,281.47,316,40,2e-06,71.6,-2.48,8.429999,0.0047899997,102262.89,93
"2019-12-05 00:00:00",1,282.24,314,0,2e-06,80,1.14,10.04,0.0056399996,102109.52,91
"2019-12-05 06:00:00",1,283.22998,326,0,5e-06,82,0.25,13.88,0.00621,101746.85,89
"2019-12-05 12:00:00",1,283.46,340,20,7e-06,81.8,-1.14,13.44,0.0063099996,101520.2,97
"2019-12-05 18:00:00",1,283.72998,350,20,2.1e-05,85.9,-1.15,12.65,0.00676,101241.04,99
"2019-12-06 00:00:00",1,283.81,349,0,7.7e-05,88.700005,-1.7099999,12.309999,0.0070499997,100681.15,96
"2019-12-06 06:00:00",1,283.82,354,0,9.5e-05,88.3,-3.34,9.74,0.0070399996,100528.58,94
"2019-12-06 12:00:00",1,283,336,20,1.5e-05,78.700005,-4.54,7.68,0.00593,100632.94,88
"2019-12-06 18:00:00",1,282,327,40,5e-06,77.8,-4.41,6.73,0.00548,100596.19,84
"2019-12-07 00:00:00",1,281.71,322,0,2e-06,77.700005,-4.0899997,5.8599997,0.00537,100658,89
"2019-12-07 06:00:00",1,281.4,327,0,2e-06,74.8,-4.17,5.0699997,0.00505,100804.23,84
"2019-12-07 12:00:00",1,282.16998,300,50,0,74,-3.1999998,4.5299997,0.00525,100991.18,73
"2019-12-07 18:00:00",1,279.9,271,80,0,83.9,-1.09,2.4199998,0.0050899996,101108.45,35
"2019-12-08 00:00:00",1,280.44,286,0,2.4e-05,91.700005,2.99,0.90999997,0.00579,101108.65,55
"2019-12-08 06:00:00",1,283.30002,347,0,5.8e-05,94.6,-0.71,7.62,0.00727,101010.625,96
"2019-12-08 12:00:00",1,284.07,358,10,0.000117999996,93.3,-1.9499999,8.349999,0.00752,101060.086,97
"2019-12-08 18:00:00",1,283.75,362,20,2.5e-05,93.3,-1.2099999,4.58,0.00734,101323,97
"2019-12-09 00:00:00",1,283.57,356,0,4.7e-05,95.700005,2.31,4.39,0.00744,101387.96,97
"2019-12-09 06:00:00",1,283.53,351,0,1.8e-05,89.200005,3.9399998,7.74,0.00691,101328.28,94
"2019-12-09 12:00:00",1,282.44,343,20,2.5e-05,70.1,-2.37,8.34,0.0050299997,101623.1,83
"2019-12-09 18:00:00",1,280.63998,276,90,1e-06,72.8,-1.36,6.47,0.00462,101850.44,29
"2019-12-10 00:00:00",1,280.72,321,0,3e-06,74.200005,1.43,6.73,0.0047299997,101896.89,90
"2019-12-10 06:00:00",1,281.08,312,0,4e-06,76.1,2.18,8.13,0.0049699997,101879.64,81
"2019-12-10 12:00:00",1,282.36,281,40,1e-06,75,1.4699999,8.87,0.0053499998,101963.625,31
"2019-12-10 18:00:00",1,281.4,301,70,4e-06,77.1,0.35999998,6.77,0.00514,102003.086,54
"2019-12-11 00:00:00",1,280.19,309,0,6e-06,83.700005,1.9,3.79,0.00514,101964.04,82
"2019-12-11 06:00:00",1,280.84,317,0,8.3e-05,92.6,4.71,-0.11,0.00598,101465.766,92
"2019-12-11 12:00:00",1,282.28,340,10,5.8e-05,85,8.5199995,5.1099997,0.00609,100892.13,97
"2019-12-11 18:00:00",1,282.21,341,10,4.7e-05,85.5,10.179999,4.0699997,0.00615,99958.46,100
"2019-12-12 00:00:00",1,282.94998,338,0,5.8e-05,84.5,14.71,3.6299999,0.00647,98691.6,100
"2019-12-12 06:00:00",1,278.83,325,0,0.000409,69.4,1.27,11.48,0.00402,98434.04,96
"2019-12-12 12:00:00",1,277.22998,261,50,0.000116,65.9,2.98,13.2,0.0033999998,98587.68,74
"2019-12-12 18:00:00",1,276.74,264,70,8.9e-05,68.5,5.17,10.3,0.0034299998,98422.414,85
"2019-12-13 00:00:00",1,276.93,259,0,0.000117,72.200005,3.1299999,11.41,0.0036799998,97979.984,79
"2019-12-13 06:00:00",1,276.59,257,0,7.3e-05,69.1,0.34,9.809999,0.00344,97868.15,89
"2019-12-13 12:00:00",1,276.72,251,50,0.000183,72.700005,1.02,9.82,0.00364,97964.8,89
"2019-12-13 18:00:00",1,276.31,268,70,4.8e-05,80.700005,3.77,5.81,0.0039399997,97770.055,90
"2019-11-27 18:00:00",2,282.13,9.999e+20,9.999e+20,9.999e+20,88.4,-3.4099998,-1,0.00641,98627.65,9.999e+20
"2019-11-28 00:00:00",2,281.97,291,0,8e-06,88.3,-4.6,-0.97999996,0.0063199997,98859.18,47
