"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-04-27 06:00:00",1,280.9,9.999e+20,9.999e+20,9.999e+20,79.200005,-1.4,1.4,0.0052,100595.96,9.999e+20
"2020-04-27 12:00:00",1,283.9,270,482,1.4e-05,67.9,-4.33,0.55,0.0054099998,100500.305,11
"2020-04-27 18:00:00",1,283.1,282,578,1.5e-05,71.700005,-5.72,-0.57,0.00548,100392.055,21
"2020-04-28 00:00:00",1,281,265,35,0,77.200005,-3,-1.5,0.0050899996,100331.4,15
"2020-04-28 06:00:00",1,280.6,262,3,0,79.6,-2.51,-1.17,0.00511,100160.67,6
"2020-04-28 12:00:00",1,284.1,267,493,4e-06,61.100002,-1.12,0.57,0.0049799997,100039.46,2
"2020-04-28 18:00:00",1,283.80002,275,622,5e-06,67.8,-3.4299998,-0.44,0.00542,99854.875,9
"2020-04-29 00:00:00",1,281.7,270,36,0,78.8,1.37,-1.76,0.0054699997,99576.41,8
"2020-04-29 06:00:00",1,280.4,268,3,0,84,4.0099998,-6.23,0.0054099998,99122.83,26
"2020-04-29 12:00:00",1,282.2,317,209,0.000167,84.700005,6.83,-0.82,0.00618,98773.62,91
"2020-04-29 18:00:00",1,282.80002,307,320,6.9e-05,62.7,5.39,4.99,0.00474,98890.836,86
"2020-04-30 00:00:00",1,280.36,257,38,0,68.3,2.24,-0.02,0.00435,99044.7,7
"2020-04-30 06:00:00",1,280.21,257,4,0,69.6,-1.3399999,-2.06,0.00438,99159.65,28
"2020-04-30 12:00:00",1,283.97437,260,508,0,58.4,-5.0299997,3.5,0.0047299997,99466.766,1
"2020-04-30 18:00:00",1,283.36,267,641,0,70.9,-5.12,4.37,0.0055299997,99709.35,1
"2020-05-01 00:00:00",1,281.13998,267,39,0,79,-1.16,1.75,0.00529,99840.164,0
"2020-05-01 06:00:00",1,280.6,262,5,0,78.8,0.38,-0.59999996,0.00507,99752.086,1
"2020-05-01 12:00:00",1,284.9,273,469,0,61.3,2.31,-3.3,0.00529,99655.766,38
"2020-05-01 18:00:00",1,285.30002,304,530,2e-06,65,0.01,-3.08,0.00579,99502.5,85
"2020-05-02 00:00:00",1,282.1,318,20,4e-06,80,1.7099999,-4.0099998,0.00575,99612.18,77
"2020-05-02 06:00:00",1,280.80002,309,3,2e-06,86.6,0.75,-5.72,0.00569,99542.43,59
"2020-05-02 12:00:00",1,285.30002,320,330,9e-06,80.1,4.3199997,-0.66999996,0.00708,99504.95,60
"2020-05-02 18:00:00",1,284.30002,339,262,0.000303,92.4,-1.75,-3.58,0.0077199996,99074.055,98
"2020-05-03 00:00:00",1,284.30002,351,8,3.3e-05,94.3,7.0299997,3.34,0.00786,99050.37,89
"2020-05-03 06:00:00",1,283.9,328,4,1.4e-05,91,7.2,3.9199998,0.0074099996,99030.53,63
"2020-05-03 12:00:00",1,284.5,344,190,3.4e-05,81.8,10.62,3.9099998,0.0069399998,99109.61,98
"2020-05-03 18:00:00",1,284.2,327,323,6e-05,85.700005,8.59,4.18,0.00708,98993.49,99
"2020-05-04 00:00:00",1,283.30002,326,17,1.1e-05,92.5,0.01,3.73,0.00722,99100.83,94
"2020-05-04 06:00:00",1,282.6,310,5,7e-06,87.3,2.22,5.72,0.0064999997,99279.79,54
"2020-05-04 12:00:00",1,284.5,308,386,2e-05,83.6,0.78999996,5.33,0.00703,99685.805,56
"2020-05-04 18:00:00",1,283.80002,332,320,7.9e-05,78.700005,-10.429999,2.8799999,0.0062599997,100339.73,72
"2020-05-05 00:00:00",1,281.80002,294,33,6e-06,71,-6.5299997,5.54,0.0049099997,100992.2,38
"2020-05-05 06:00:00",1,282,321,4,1.3e-05,77.4,-1.28,8.0199995,0.0054099998,101210.555,88
"2020-05-05 12:00:00",1,284.6,321,275,3.8e-05,75.4,-1.52,10.08,0.0063099996,101104.45,66
"2020-05-05 18:00:00",1,284.4,323,396,9e-06,72.9,-1.27,8.48,0.00597,101346.84,61
"2020-05-06 00:00:00",1,282.80002,321,40,5e-06,79.9,1.51,7.6,0.00591,101543.78,66
"2020-05-06 06:00:00",1,283.1,347,1,1.2e-05,83.4,1.9699999,8.17,0.00628,101546.01,94
"2020-05-06 12:00:00",1,284.9,350,166,1.6e-05,78.1,2.3799999,8.09,0.0066,101730.97,91
"2020-05-06 18:00:00",1,284.9,323,374,5e-06,75.1,5.71,7.69,0.00636,101666.375,74
"2020-05-07 00:00:00",1,282.2,300,31,1e-06,92.200005,4.3399997,3.8999999,0.0065099997,101517.305,52
"2020-05-07 06:00:00",1,282.6,290,5,0,92.200005,6.27,3.56,0.00673,101184.6,52
"2020-05-07 12:00:00",1,286,328,246,1.6e-05,76.8,9.95,7.3199997,0.00707,100886.625,83
"2020-05-07 18:00:00",1,285.7,352,228,2.5e-05,88.200005,1.75,9.37,0.007929999,100800.94,79
"2020-05-08 00:00:00",1,282.6,328,22,8e-06,91,-0.06,1.9399999,0.00666,101082.91,71
"2020-05-08 06:00:00",1,283.1,341,5,7e-06,83.9,-0.03,1.0799999,0.00635,101098.68,92
"2020-05-08 12:00:00",1,287.2,311,453,0,66.200005,3.4499998,0.08,0.0065599997,101056.234,49
"2020-05-08 18:00:00",1,288.30002,300,657,0,66.4,3.6299999,1.66,0.00707,100845.22,5
"2020-05-09 00:00:00",1,283.1,287,49,0,91.9,3.26,0.41,0.00697,100802.27,27
"2020-05-09 06:00:00",1,283.30002,284,8,0,95.6,2.46,-0.79999995,0.0073599997,100654.06,16
"2020-05-09 12:00:00",1,289.1,333,354,0,71.5,2.29,-1.0799999,0.0080699995,100619.96,59
"2020-05-09 18:00:00",1,291.2,332,606,0,64.200005,-1.87,0.65999997,0.00827,100324.94,29
"2020-05-10 00:00:00",1,286.7,348,39,4.6e-05,89.700005,-2.72,-1.5899999,0.0087,100103.07,79
"2020-05-10 06:00:00",1,285.6,353,4,0.000143,93.4,-4.68,-1.14,0.00847,99603.414,87
"2020-05-10 12:00:00",1,284.7,353,95,0.000436,90.5,-7.24,-0.11,0.00775,99256.37,99
"2020-05-10 18:00:00",1,283.7,355,99,0.000471,89.4,-8.9,5.8599997,0.0071199997,99581.12,96
"2020-05-11 00:00:00",1,282.5,346,7,0.000168,85.5,-6.72,6.69,0.00622,100358.08,94
"2020-05-11 06:00:00",1,282,340,2,1.7e-05,83.700005,-3.6499999,4.29,0.0058899997,100813.2,98
"2020-05-11 12:00:00",1,283.80002,326,233,3.2e-05,74.3,-4.63,3.75,0.00585,101109.52,86
"2020-05-11 18:00:00",1,283.80002,311,431,4.4e-05,72.5,-4.9,2.96,0.00572,101190.56,65
"2020-05-12 00:00:00",1,279.9,276,46,5e-06,88.5,-2.12,1.11,0.00536,101323.49,15
"2020-05-12 06:00:00",1,281,272,9,1e-06,90.4,-2.4099998,1.06,0.0058999998,101334.555,16
"2020-05-12 12:00:00",1,285.6,301,457,2.1e-05,69.1,-5.24,0.41,0.00617,101333.54,37
"2020-05-12 18:00:00",1,284.30002,307,568,1.1e-05,70,-5.54,0.03,0.00572,101363.516,38
"2020-05-13 00:00:00",1,280.7,278,48,0,87.4,-3.6399999,-0.12,0.00557,101448.79,12
"2020-05-13 06:00:00",1,281.30002,272,10,0,88.1,-2.96,-0.52,0.00588,101452.68,8
"2020-04-27 06:00:00",2,280.9,9.999e+20,9.999e+20,9.999e+20,76.9,-1.02,1.31,0.00501,100552.31,9.999e+20
"2020-04-27 12:00:00",2,283.6,281,435,1.1e-05,66.9,-3.61,0.12,0.00524,100461.7,54
"2020-04-27 18:00:00",2,283.4,288,550,1.1e-05,71.1,-5.48,-1.01,0.0055,100324.96,48
"2020-04-28 00:00:00",2,281.4,268,34,1e-06,80.8,-3.1999998,-2.6399999,0.00548,100247.266,18
"2020-04-28 06:00:00",2,281.4,271,2,3e-06,81.4,-1.24,-2.1,0.0055299997,100076.12,18
"2020-04-28 12:00:00",2,284.6,294,439,1.5e-05,67.9,1.11,-1.0699999,0.0057099997,100017.01,37
"2020-04-28 18:00:00",2,284.7,314,439,7e-06,68,-0.65,-0.48999998,0.00579,99842.35,63
"2020-04-29 00:00:00",2,282.9,297,36,0,79.6,3.33,-2.81,0.00604,99573.46,45
"2020-04-29 06:00:00",2,281.30002,308,1,1.1e-05,85.1,5.13,-8.5,0.00579,99120.99,63
"2020-04-29 12:00:00",2,282,333,130,0.000331,77.9,6.14,8.08,0.0055899997,98883.94,98
"2020-04-29 18:00:00",2,283.1,278,552,9e-06,60,3.4099998,3.1899998,0.00463,98935.805,41
"2020-04-30 00:00:00",2,280.47998,310,21,0.000189,79.1,-3.6999998,-0.59999996,0.0050999997,98907.06,95
"2020-04-30 06:00:00",2,280.50998,327,2,0.000252,89.5,-0.98999995,-4.37,0.00581,98724.74,90
