"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-05-16 00:00:00",1,282.30002,9.999e+20,9.999e+20,9.999e+20,75.5,1.9799999,4.02,0.00532,102134.02,9.999e+20
"2020-05-16 06:00:00",1,283,307,8,4e-06,81.1,2.69,4.4,0.00604,101928.15,84
"2020-05-16 12:00:00",1,284.4,324,350,3.2e-05,79.1,3.86,5.99,0.00648,101898.52,81
"2020-05-16 18:00:00",1,284.1,336,318,6.5e-05,84.5,6.2799997,5.67,0.00678,101730.445,84
"2020-05-17 00:00:00",1,284.30002,349,24,8.2e-05,91.1,8.01,6.3999996,0.0074,101495.51,93
"2020-05-17 06:00:00",1,284.6,361,1,5.8999998e-05,93.5,6.74,5.74,0.00781,101375.52,98
"2020-05-17 12:00:00",1,285.30002,363,139,6.8e-05,92.5,7.02,5.39,0.00809,101390.08,95
"2020-05-17 18:00:00",1,285.2,347,303,8.6e-05,88.5,10.54,5.62,0.0076699997,101207.46,87
"2020-05-18 00:00:00",1,285.2,361,11,0.000124,93.4,6.77,6.96,0.00814,101221.48,92
"2020-05-18 06:00:00",1,285.1,340,10,5e-06,94.700005,4.97,3.6699998,0.00813,101238.1,86
"2020-05-18 12:00:00",1,286.6,321,429,6e-06,86.3,5.96,4.44,0.0081899995,101342.664,75
"2020-05-18 18:00:00",1,285.7,345,393,7.4999996e-05,91.700005,7.71,3.9399998,0.008169999,101267.6,86
"2020-05-19 00:00:00",1,285.4,362,7,9.1e-05,94.1,8.21,4.5299997,0.008239999,101286.7,98
"2020-05-19 06:00:00",1,285.30002,363,2,0.000122,94.4,7.75,3.6499999,0.00826,101257.27,96
"2020-05-19 12:00:00",1,286.1,365,271,1.5e-05,88.5,7.5699997,3.27,0.008119999,101418.08,94
"2020-05-19 18:00:00",1,287,323,588,2e-06,84.1,7.52,2.48,0.00818,101285.46,66
"2020-05-20 00:00:00",1,285.1,319,42,1e-06,89.700005,5.06,-1.73,0.00774,101161.766,44
"2020-05-20 06:00:00",1,283.2,279,11,0,76.6,5.98,-4.38,0.00582,100800.516,47
"2020-05-20 12:00:00",1,287.9,312,402,6e-06,77.9,9.179999,-0.9,0.00811,100532.055,81
"2020-05-20 18:00:00",1,285.6,349,256,6.2e-05,84.200005,6.1099997,4.08,0.0075299996,100654.93,92
"2020-05-21 00:00:00",1,283.7,290,54,0,91.6,2.97,-0.95,0.00721,100743.02,50
"2020-05-21 06:00:00",1,283.9,314,7,3e-06,85.4,-0.31,-6.3399997,0.00685,100312.85,94
"2020-05-21 12:00:00",1,285.80002,346,111,0.000498,90.200005,2.62,-10.599999,0.0083099995,99356.5,99
"2020-05-21 18:00:00",1,285.9,346,280,0.000129,83,5.73,-0.58,0.0077199996,98930.62,95
"2020-05-22 00:00:00",1,284.4,334,44,9e-06,88.6,4.0499997,8.48,0.00744,99209.17,72
"2020-05-22 06:00:00",1,284.4,301,14,1e-06,84.3,5.9,7.0699997,0.00701,99718.984,35
"2020-05-22 12:00:00",1,286.1,285,558,3e-06,71.3,8.07,4,0.0066299997,100206.086,20
"2020-05-22 18:00:00",1,285.30002,326,432,0.000143,84.9,10.03,-8.349999,0.0075499997,99560.18,92
"2020-05-23 00:00:00",1,285,343,9,0.000169,74,19,5.8399997,0.00647,99084.336,83
"2020-05-23 06:00:00",1,284.4,309,15,1.4e-05,73,12.12,8.88,0.0060699997,99825.22,50
"2020-05-23 12:00:00",1,286,284,558,4.9e-05,70.4,12.23,8.17,0.00649,100203,28
"2020-05-23 18:00:00",1,285.4,318,423,0.000271,75.8,8.95,10.28,0.0067399996,100162.62,59
"2020-05-24 00:00:00",1,284.7,320,59,0.000141,88.700005,8.57,6.44,0.0075,100231.85,74
"2020-05-24 06:00:00",1,285.2,349,4,0.000149,88.6,10,4.8599997,0.0077899997,99872.64,92
"2020-05-24 12:00:00",1,287.5,347,285,7.1e-05,80,16.16,5.66,0.00821,99725.52,92
"2020-05-24 18:00:00",1,286.1,336,291,0.000221,69.6,9.37,9.36,0.00649,99855.41,61
"2020-05-25 00:00:00",1,283.6,292,67,6e-06,79,7.5,6.74,0.00622,100080.98,25
"2020-05-25 06:00:00",1,283.4,306,10,2.5e-05,82.3,6.5899997,5.1099997,0.00642,100144.46,60
"2020-05-25 12:00:00",1,286.6,311,481,0.000101,70.700005,7.47,8.23,0.00677,100179.65,70
"2020-05-25 18:00:00",1,285.7,297,673,6.1e-05,71.5,7.22,7.7599998,0.00649,100112.84,36
