"forecast.date","ensembles","tmp2m","dlwrfsfc","dswrfsfc","pratesfc","rh2m","vgrd10m","ugrd10m","spfh2m","pressfc","tcdcclm"
"2020-06-13 06:00:00",1,285.6,9.999e+20,9.999e+20,9.999e+20,86.200005,-4.2,-2.35,0.00776,100464.75,9.999e+20
"2020-06-13 12:00:00",1,288.4,324,504,1e-06,80.1,-4.81,-3.01,0.008599999,100623.48,37
"2020-06-13 18:00:00",1,288.4,351,484,3.2e-05,85.6,-6.3599997,-1.77,0.00923,100646.2,76
"2020-06-14 00:00:00",1,286.2,321,72,6e-06,94.4,-4.52,-3.59,0.00883,100790.94,15
"2020-06-14 06:00:00",1,286.5,311,20,2.1e-05,93.4,-4.04,-2.56,0.00885,100811.43,6
"2020-06-14 12:00:00",1,290.7,318,574,9e-06,71.8,-5.1099997,-2.99,0.0089,100877.555,6
"2020-06-14 18:00:00",1,289.7,327,690,0.00029999999,80.8,-4.22,-4.5699997,0.00943,100874.086,48
"2020-06-15 00:00:00",1,286.80002,324,71,0.000228,92,-4.23,-3.48,0.00889,100970.14,43
"2020-06-15 06:00:00",1,286.5,311,20,9e-05,93.700005,-3.56,-2.7,0.00885,101025.04,3
"2020-06-15 12:00:00",1,289.5,328,548,7e-06,84.1,-5.49,-1.5699999,0.00963,101033.875,15
"2020-06-15 18:00:00",1,288.5,326,698,4.1e-05,88.3,-6.62,0.08,0.00954,101015.96,10
"2020-06-16 00:00:00",1,286.2,336,79,9e-06,95.6,-5.45,-0.04,0.00887,101086.9,41
"2020-06-16 06:00:00",1,286.2,369,8,3e-05,95,-5.08,0.32,0.00881,101135.89,86
"2020-06-16 12:00:00",1,287.1,367,224,2.7e-05,90.8,-6.66,1,0.00889,101285.15,93
"2020-06-16 18:00:00",1,285.7,364,299,1.9e-05,90.9,-7.7,0.41,0.008119999,101473.06,88
"2020-06-17 00:00:00",1,285,365,22,1.1e-05,88.700005,-7.96,-0.56,0.00758,101655.77,95
"2020-06-17 06:00:00",1,284.6,352,12,9e-06,84.4,-7.94,-0.87,0.0069999998,101754.586,87
"2020-06-17 12:00:00",1,285.4,344,348,6e-06,77.8,-7.93,-0.24,0.00678,101875.69,79
"2020-06-17 18:00:00",1,285.30002,324,584,1e-06,77.3,-6.83,-1.1,0.00673,101889.53,47
"2020-06-18 00:00:00",1,284.30002,343,58,2e-06,81.700005,-4.88,-0.93,0.0066199997,101907.69,78
"2020-06-18 06:00:00",1,284.4,353,8,4e-06,83.9,-3.78,-1.4,0.00689,101783.43,96
"2020-06-18 12:00:00",1,285.80002,360,237,1e-05,83.5,-4.2,-0.02,0.0074799997,101822.33,96
"2020-06-18 18:00:00",1,286.30002,357,412,2e-06,84.4,-3.83,0.5,0.00781,101773.1,87
"2020-06-19 00:00:00",1,285,356,42,2e-06,89,-3.36,-0.47,0.00756,101903.055,87
"2020-06-19 06:00:00",1,285.1,302,20,0,92.3,-2.46,-0.45999998,0.00791,101874.805,7
"2020-06-19 12:00:00",1,288.80002,318,547,0,81.5,-3.55,0.17999999,0.00887,101883.78,19
"2020-06-19 18:00:00",1,289.4,328,698,4e-06,81.9,-4.47,0.04,0.0092899995,101728.21,7
"2020-06-20 00:00:00",1,288.30002,338,81,2e-06,85.200005,-2.18,-1.12,0.00901,101662.12,26
"2020-06-20 06:00:00",1,287.80002,346,20,1e-06,89.700005,0.22,-0.22999999,0.00918,101520.4,40
"2020-06-20 12:00:00",1,290.1,332,559,2e-05,81,-1.3399999,2.6599998,0.00964,101483.52,26
"2020-06-20 18:00:00",1,288.6,331,694,9e-06,84.1,-3.57,2.6299999,0.009099999,101365.83,26
"2020-06-21 00:00:00",1,285.1,314,81,0,88.4,-2.1699998,1.7099999,0.00757,101335.08,4
"2020-06-21 06:00:00",1,285.4,305,19,0,80.5,-2.09,1.5799999,0.00709,101201.58,13
"2020-06-21 12:00:00",1,289.80002,322,523,1e-06,67.8,-1.9799999,1.63,0.00794,100919.15,27
"2020-06-21 18:00:00",1,289.2,327,670,0,69.200005,-3.9399998,1.88,0.0078,100911.375,19
"2020-06-22 00:00:00",1,284,303,83,0,92.4,-2.3799999,1.79,0.0074299998,101014.414,3
"2020-06-22 06:00:00",1,285,301,19,1e-06,89.5,-3.07,1.53,0.0077,100945.37,25
"2020-06-22 12:00:00",1,288.6,334,398,4e-06,73.4,-3.9399998,0.52,0.00798,100962.04,49
"2020-06-22 18:00:00",1,289.4,351,428,2e-06,73.700005,-4.49,-0.19,0.0084,100854.41,60
"2020-06-23 00:00:00",1,285.9,339,74,6e-06,88.3,-3.09,-0.45,0.00806,100816.38,69
"2020-06-23 06:00:00",1,286.2,340,18,4e-06,88,-1.35,-0.81,0.00821,100593.9,64
"2020-06-23 12:00:00",1,292.4,331,544,0,67.700005,-1.02,1.4499999,0.009389999,100502.35,38
"2020-06-23 18:00:00",1,290,355,588,9e-06,76.1,-2.96,2.4299998,0.00908,100547.805,71
"2020-06-24 00:00:00",1,285,321,65,0,88.8,-1.5899999,1.77,0.00763,100679.63,32
"2020-06-24 06:00:00",1,285.6,302,19,0,82.3,-1.01,1.77,0.00737,100703.27,20
"2020-06-24 12:00:00",1,290.6,314,543,0,66.8,-3.48,3.28,0.008239999,100793.14,70
"2020-06-24 18:00:00",1,287.30002,343,538,2e-06,74.700005,-4.18,4.5299997,0.00746,100901.586,89
"2020-06-25 00:00:00",1,284.2,327,51,2e-06,88.4,-1.11,3.48,0.00719,100872.29,83
"2020-06-25 06:00:00",1,284.7,300,18,0,88.8,1.5899999,2.9099998,0.00752,100655.086,22
"2020-06-25 12:00:00",1,287.6,344,268,1.2e-05,76.1,7.94,3.8999999,0.0078,100217.24,71
"2020-06-25 18:00:00",1,288.1,329,595,4e-05,79.6,12.139999,2.9099998,0.0084999995,99530.766,75
"2020-06-26 00:00:00",1,286.5,365,22,0.000453,93.4,5.83,3.12,0.009,98970.62,94
"2020-06-26 06:00:00",1,285.1,347,13,3.2e-05,86.4,4.73,5.6,0.00762,98855.48,74
"2020-06-26 12:00:00",1,287.2,325,388,4.1e-05,74.3,2.9399998,8.72,0.00756,98796.445,55
"2020-06-26 18:00:00",1,286.1,334,503,6e-05,79.1,3.27,7.7799997,0.0074699996,98775.79,68
"2020-06-27 00:00:00",1,284.5,345,42,0.000113,89.8,3.25,5.5499997,0.00762,98809.266,81
"2020-06-27 06:00:00",1,284.5,351,5,0.000156,89.4,3.77,5.75,0.00756,98750.85,85
"2020-06-27 12:00:00",1,285.80002,352,165,0.000185,84.4,5.44,7.71,0.00781,98865.33,97
"2020-06-27 18:00:00",1,285.30002,355,216,0.000192,85.200005,6.2,7.6699996,0.0076099997,98981.81,94
"2020-06-28 00:00:00",1,284.30002,350,22,7.7e-05,87,5.85,5.0099998,0.00725,99164.69,91
"2020-06-28 06:00:00",1,284.1,329,15,6e-06,84.700005,5.24,2.1499999,0.0069799996,99242.8,63
"2020-06-28 12:00:00",1,286.80002,342,219,2e-05,81.4,5.98,0.61,0.00804,99336.18,80
"2020-06-28 18:00:00",1,288.2,344,399,0.000119,84.200005,5.8799996,6.0299997,0.00906,99425.305,55
"2020-06-29 00:00:00",1,285.4,336,69,2.3e-05,91.1,5.99,3.73,0.00814,99738.11,58
"2020-06-29 06:00:00",1,285.5,343,9,1.7e-05,91.6,5.64,0.55,0.00823,99762.055,87
"2020-06-13 06:00:00",2,285.80002,9.999e+20,9.999e+20,9.999e+20,86.1,-4.33,-2.85,0.00781,100441.65,9.999e+20
"2020-06-13 12:00:00",2,288.5,325,510,2e-06,79.4,-5.2599998,-3.1,0.008599999,100604.945,45
"2020-06-13 18:00:00",2,288.30002,350,484,2.1e-05,85,-5.7,-2.22,0.00906,100616.664,77
"2020-06-14 00:00:00",2,286.5,322,71,1.1e-05,92.8,-4.22,-3.81,0.00883,100769.836,25
"2020-06-14 06:00:00",2,286.5,311,20,0,93,-3.9099998,-3.1599998,0.00881,100804.82,15
"2020-06-14 12:00:00",2,290.7,316,574,1.5e-05,70.9,-5.0499997,-3.6999998,0.008789999,100881.555,10
"2020-06-14 18:00:00",2,289.7,327,687,0.000418,80.6,-4.13,-5.46,0.009389999,100855.766,39
"2020-06-15 00:00:00",2,286.7,326,60,0.000404,91.200005,-3.7099998,-3.26,0.0088,100967.02,57
"2020-06-15 06:00:00",2,286.5,311,20,2.5e-05,92.4,-3.12,-2.85,0.00871,101001.6,6
"2020-06-15 12:00:00",2,289.2,322,560,2.4e-05,83.3,-3.79,-0.93,0.00937,101016.87,9
"2020-06-15 18:00:00",2,288.30002,323,704,3.9e-05,88.1,-6.22,0.65,0.00942,101016.24,18
"2020-06-16 00:00:00",2,286.1,349,73,1.7e-05,94.200005,-4.66,-0.14,0.00869,101124.13,66
"2020-06-16 06:00:00",2,285.7,369,6,2.4e-05,93.8,-5.21,1.16,0.00844,101204.6,92
"2020-06-16 12:00:00",2,286.5,363,282,1.7e-05,90.200005,-5.9,1.49,0.00854,101330.336,88
"2020-06-16 18:00:00",2,286.2,359,340,1e-05,88.200005,-7.43,0.45999998,0.00813,101470.85,82
"2020-06-17 00:00:00",2,285,358,48,1e-05,89.8,-7.49,0.14,0.00768,101634.76,85
"2020-06-17 06:00:00",2,284.9,354,11,7e-06,86.6,-7.68,-0.61,0.00733,101707.87,89
"2020-06-17 12:00:00",2,285.9,349,352,5e-06,80.3,-7.6699996,-1.25,0.00726,101814.87,83
"2020-06-17 18:00:00",2,285.5,322,595,2e-06,81.3,-7.2,-1.3299999,0.00716,101830.164,41
"2020-06-18 00:00:00",2,284.5,333,61,2e-06,86.5,-4.98,-1.38,0.00709,101769.23,58
"2020-06-18 06:00:00",2,284.6,298,20,0,89.3,-3.8,-1.6999999,0.0074199997,101617.664,12
"2020-06-18 12:00:00",2,287.30002,344,416,3e-06,81.700005,-4.13,-1.3199999,0.008119999,101628.24,62
"2020-06-18 18:00:00",2,287.6,335,616,1e-06,84,-4.96,0.81,0.008479999,101625.15,41
"2020-06-19 00:00:00",2,285,322,66,1e-06,90.6,-3.6899998,-0.31,0.0077299997,101751.27,27
"2020-06-19 06:00:00",2,285.7,331,13,1e-06,91.5,-3.78,-0.51,0.00814,101872.37,39
"2020-06-19 12:00:00",2,289.7,332,539,1e-06,79.700005,-4.7,-0.28,0.0091699995,101880.586,23
"2020-06-19 18:00:00",2,289.30002,334,661,3e-06,81.700005,-6.1299996,-0.81,0.00919,101832.9,15
"2020-06-20 00:00:00",2,287,321,81,0,88,-4.62,-3.1499999,0.00854,101856.16,27
"2020-06-20 06:00:00",2,287.30002,316,20,0,87,-3.11,-3.09,0.00859,101742.39,34
"2020-06-20 12:00:00",2,290.9,324,560,0,73.6,-6.22,-2.34,0.009149999,101702.72,29
"2020-06-20 18:00:00",2,290.2,326,711,0,72.700005,-7.87,-2.76,0.008669999,101636.35,5
"2020-06-21 00:00:00",2,286.2,312,83,0,88.3,-7.3399997,-2.83,0.008119999,101778.414,3
